Epoch,Time(s),Loss,Precision
00571,2.2052,0.0731,0.8612
00572,2.2052,0.0730,0.9295
00573,2.2051,0.0733,0.8682
00574,2.2051,0.0726,0.9142
00575,2.2051,0.0723,0.8983
00576,2.2051,0.0720,0.8893
00577,2.2051,0.0721,0.9219
00578,2.2051,0.0724,0.8607
00579,2.2051,0.0726,0.9348
00580,2.2051,0.0736,0.8504
00581,2.2051,0.0730,0.9271
00582,2.2051,0.0733,0.8790
00583,2.2051,0.0720,0.8935
00584,2.2051,0.0720,0.9231
00585,2.2051,0.0724,0.8468
00586,2.2051,0.0731,0.9368
00587,2.2050,0.0745,0.8668
00588,2.2051,0.0725,0.8766
00589,2.2050,0.0734,0.9243
00590,2.2050,0.0727,0.8098
00591,2.2050,0.0758,0.9395
00592,2.2050,0.0793,0.8069
00593,2.2050,0.0797,0.9301
00594,2.2050,0.0738,0.6819
00595,2.2050,0.0860,0.9441
00596,2.2050,0.0848,0.7728
00597,2.2050,0.0973,0.9292
00598,2.2050,0.0946,0.9103
00599,2.2050,0.0853,0.7993
00600,2.2050,0.0802,0.8149
00601,2.2049,0.0808,0.7884
00602,2.2049,0.0849,0.8688
00603,2.2049,0.0788,0.8634
00604,2.2049,0.0777,0.8392
00605,2.2049,0.0811,0.9001
00606,2.2049,0.0817,0.9355
00607,2.2049,0.0809,0.9054
00608,2.2049,0.0780,0.8339
00609,2.2049,0.0794,0.8847
00610,2.2049,0.0781,0.9052
00611,2.2049,0.0792,0.8923
00612,2.2049,0.0774,0.8430
00613,2.2049,0.0763,0.8439
00614,2.2049,0.0765,0.9126
00615,2.2049,0.0764,0.9072
00616,2.2049,0.0763,0.8577
00617,2.2049,0.0750,0.8553
00618,2.2049,0.0746,0.8845
00619,2.2048,0.0751,0.8890
00620,2.2048,0.0744,0.8561
00621,2.2048,0.0742,0.8828
00622,2.2048,0.0736,0.9093
00623,2.2048,0.0740,0.8938
00624,2.2048,0.0733,0.8561
00625,2.2048,0.0735,0.8862
00626,2.2048,0.0732,0.9001
00627,2.2048,0.0732,0.8691
00628,2.2048,0.0729,0.8907
00629,2.2048,0.0726,0.9133
00630,2.2048,0.0727,0.8883
00631,2.2048,0.0723,0.8835
00632,2.2048,0.0723,0.9103
00633,2.2048,0.0724,0.8971
00634,2.2048,0.0720,0.8835
00635,2.2047,0.0722,0.9157
00636,2.2047,0.0721,0.8977
00637,2.2047,0.0717,0.8803
00638,2.2047,0.0719,0.9128
00639,2.2047,0.0719,0.8948
00640,2.2047,0.0715,0.8834
00641,2.2047,0.0716,0.9181
00642,2.2047,0.0717,0.8959
00643,2.2047,0.0713,0.8894
00644,2.2047,0.0713,0.9188
00645,2.2047,0.0715,0.8956
00646,2.2047,0.0711,0.8931
00647,2.2047,0.0711,0.9165
00648,2.2046,0.0712,0.8899
00649,2.2046,0.0710,0.9024
00650,2.2046,0.0708,0.9108
00651,2.2046,0.0709,0.8902
00652,2.2046,0.0709,0.9114
00653,2.2046,0.0708,0.9026
00654,2.2046,0.0706,0.8985
00655,2.2046,0.0706,0.9140
00656,2.2046,0.0706,0.8937
00657,2.2046,0.0706,0.9098
00658,2.2046,0.0705,0.9002
00659,2.2046,0.0704,0.9027
00660,2.2046,0.0703,0.9080
00661,2.2045,0.0703,0.8988
00662,2.2045,0.0703,0.9130
00663,2.2045,0.0703,0.8961
00664,2.2045,0.0702,0.9140
00665,2.2045,0.0702,0.8977
00666,2.2045,0.0701,0.9114
00667,2.2045,0.0700,0.9013
00668,2.2045,0.0699,0.9065
00669,2.2045,0.0699,0.9048
00670,2.2045,0.0698,0.9028
00671,2.2045,0.0698,0.9085
00672,2.2045,0.0697,0.9013
00673,2.2045,0.0697,0.9136
00674,2.2045,0.0697,0.8934
00675,2.2045,0.0698,0.9223
00676,2.2045,0.0700,0.8672
00677,2.2045,0.0705,0.9345
00678,2.2044,0.0722,0.8379
00679,2.2044,0.0719,0.9314
00680,2.2044,0.0729,0.8946
00681,2.2044,0.0700,0.8536
00682,2.2044,0.0710,0.9471
00683,2.2044,0.0738,0.8914
00684,2.2044,0.0697,0.8228
00685,2.2044,0.0723,0.9561
00686,2.2044,0.0782,0.9116
